lang,text_num,flesh_readability,l2_readability,narrativity,simplicity,concreteness,cohesion,deep_cohesion,verb_cohesion,connectivity,temporality,matched
Korean,10,12.043,11.008,-1.04,-1.4,1.235,0.674,0.296,1.512,-4.558,-0.922,FALSE
Korean,11,17.935,5.322,-0.91,-0.424,-0.602,-0.861,0.418,-0.883,-2.686,1.588,TRUE
Korean,12,12.201,15.211,-1.508,-0.523,1.966,1.118,-0.143,-0.304,-3.16,-1.619,TRUE
Norwegian,1,9.331,12.215,-0.625,-0.06,1.626,-0.011,0.942,0.416,-7.039,1.068,TRUE
Norwegian,2,11.855,20.379,-1.097,-0.764,2.525,1.344,-1.061,0.499,-6.113,-4.419,FALSE
Norwegian,3,14.253,6.766,-1.852,-0.193,-0.561,-1.094,1.641,0.227,-0.965,-0.033,TRUE
Norwegian,4,12.552,7.495,-1.462,0.139,0.883,-0.362,0.598,-0.631,-5.024,-0.863,FALSE
Norwegian,5,11.993,20.057,-1.255,-0.699,2.254,1.154,0.137,1.819,-4.409,-1.107,FALSE
Norwegian,6,10.657,15.254,-1.346,-0.107,0.726,0.879,1.074,-0.134,-0.831,-0.771,FALSE
Norwegian,7,11.302,11.809,-0.837,-0.056,0.165,-0.279,1.356,1.009,-1.734,-2.008,TRUE
Norwegian,8,9.782,11.908,-0.932,0.405,2.174,0.968,1.446,-0.53,-3.883,-0.554,FALSE
Norwegian,9,7.975,10.977,-1.091,0.309,0.888,-0.407,2.554,0.424,-1.983,0.306,FALSE
Norwegian,10,9.495,14.763,-1.421,0.224,1.723,0.774,2.506,0.017,-5.559,-0.547,FALSE
Norwegian,11,14.084,9.265,-1.109,-0.128,-0.952,-0.697,-0.158,-0.036,-1.578,1.704,TRUE
Norwegian,12,11.149,11.085,-1.136,-0.214,1.385,0.203,2.469,0.612,-2.508,0.255,TRUE
Russian,1,10.25,6.651,-0.731,-0.613,1.829,0.484,0.581,-0.465,-5.487,1.143,TRUE
Russian,2,11.964,7.172,-0.465,-0.788,1.882,-0.155,0.206,-0.611,-4.165,-0.075,FALSE
Russian,3,13.965,6.575,-1.555,-0.456,-0.619,0.504,0.423,-1.013,-1.013,-0.173,TRUE
Russian,4,13.673,6.64,-0.534,-0.723,0.37,0.735,0.425,-1.203,-4.989,-0.88,FALSE
Russian,5,11.916,15.34,-1.544,0.16,0.322,-0.812,0.846,1.638,-0.829,-1.488,FALSE
Russian,6,10.161,14.007,-1.545,0.125,0.09,-1.208,3.145,0.68,-1.717,-0.528,FALSE
Russian,7,13.062,12.783,-0.624,-0.163,0.435,1.144,1.57,-1.088,-2.689,-1.899,TRUE
Russian,8,10.846,9.706,-0.368,-0.298,2.077,0.593,2.125,-1.329,-3.347,0.072,FALSE
Russian,9,12.86,8.117,-0.733,-0.616,0.511,-0.677,1.033,-0.994,0.036,-0.693,FALSE
Russian,10,9.778,17.814,-0.944,-1.017,1.056,2.012,-0.056,1.053,-2.811,0.943,FALSE
Russian,11,16.098,10.238,-1.018,-0.776,-0.693,0.14,-0.619,0,-3.637,1.016,TRUE
Russian,12,12.604,11.333,-1.782,-0.021,1.167,-0.3,0.931,1.418,-2.569,0.766,TRUE
Spanish,1,10.243,7.32,-0.473,-0.189,1.344,-0.01,0.807,-0.367,-5.732,0.138,TRUE
Spanish,2,13.26,13.449,-0.301,-1.582,1.579,0.862,1.418,0.775,-1.842,0.531,FALSE
Spanish,3,13.604,7.185,-1.227,-0.684,-1.494,0.155,-0.763,-0.793,-0.419,0.209,TRUE
Spanish,4,13.79,5.085,-1.463,-0.539,-0.6,-0.691,1.684,0.467,-3.475,1.263,FALSE
Spanish,5,19.793,7.692,-1.445,-2.341,1,0.304,0.331,-0.196,-1.632,-2.45,FALSE
Spanish,6,10.208,9.786,-0.997,0.031,0.442,-1.472,0.209,-0.373,-1.973,1.192,FALSE
Spanish,7,11.507,13.564,-0.826,-0.604,0.667,0.682,0.541,0.314,-1.671,-3.005,TRUE
Spanish,8,13.618,6.045,-0.922,-0.776,1.691,-0.097,0.782,-0.126,-4.699,-0.338,FALSE
Spanish,9,11.029,13.076,-1.031,0.592,0.767,-1.142,2.19,-0.613,-4.657,0.187,FALSE
Spanish,10,10.702,18.041,-0.812,-0.998,1.767,1.636,0.282,0.703,-3.426,0.393,FALSE
Spanish,11,17.093,5.378,-0.902,-0.911,-0.25,0.006,-1.325,-0.247,-2.666,1.36,TRUE
Spanish,12,11.951,8.814,-1.475,-0.062,1.651,0.222,1.262,0.592,-2.391,0.055,TRUE
Turkish,1,9.851,13.986,-0.448,-0.439,1.443,0.198,-0.2,0.441,-5.913,1.08,TRUE
Turkish,2,11.329,5.421,-0.199,-1.352,1.624,-0.359,1.203,-0.468,-2.207,0.83,FALSE
Turkish,3,14.397,7.534,-1.088,-0.436,-1.207,-0.453,1.058,-0.399,-0.492,0.684,TRUE
Turkish,4,12.825,8.685,-1.309,-0.224,0.166,0.152,1.015,-0.296,-2.522,-1.805,FALSE
Turkish,5,13.14,15.378,-0.919,-1.781,1.474,1.136,0.157,0.904,0.005,-1.781,FALSE
Turkish,6,12.93,6.654,-1.563,0.507,0.058,-0.523,0.818,-0.953,-2.083,0.097,FALSE
Turkish,7,12.488,17.213,-0.726,-0.931,0.935,1.905,0.076,0.286,-0.915,-2.594,TRUE
Turkish,8,10.174,19.152,-0.341,-0.339,0.332,0.901,3.129,-0.541,-2.537,0.853,FALSE
Turkish,9,13.675,10.436,-0.867,-0.586,0.753,0.301,3.27,-0.775,-1.521,-0.385,FALSE
Turkish,10,7.848,13.738,-0.589,-0.34,1.204,1.231,-2.102,-0.115,-1.706,-1.556,FALSE
Turkish,11,16.813,10.139,-1.101,-0.725,-0.212,0.349,-1.011,-0.842,-3.167,0.631,TRUE
Turkish,12,12.974,17.553,-1.776,-0.046,1.625,0.555,1.535,0.855,-2.5,-0.859,TRUE
