word_id,TRT,FixCount,Span_word_is_in,text_id
"kabul,_0",nan,0,,a_HarvardUniversity_3
Carnegie_0,85.0,1,,a_HarvardUniversity_3
Vakfi_0,71.0,1,,a_HarvardUniversity_3
tarafindan_0,215.0,2,,a_HarvardUniversity_3
"""daha_0",84.0,1,,a_HarvardUniversity_3
"secici,_0",nan,0,,a_HarvardUniversity_3
daha_0,nan,0,,a_HarvardUniversity_3
dusk_0,158.0,1,,a_HarvardUniversity_3
"gecis""_0",nan,0,,a_HarvardUniversity_3
olarak_0,nan,0,,a_HarvardUniversity_3
tanimlanir._0,224.0,2,,a_HarvardUniversity_3
Harvard_0,548.0,5,,a_HarvardUniversity_3
Koleji_0,869.0,8,,a_HarvardUniversity_3
2019_0,975.0,10,,a_HarvardUniversity_3
sinifi_0,282.0,2,,a_HarvardUniversity_3
icin_0,nan,0,,a_HarvardUniversity_3
basvuranlarin_0,459.0,5,,a_HarvardUniversity_3
"%5,3'Unu_0",566.0,4,a_HarvardUniversity_3_qa_0 ,a_HarvardUniversity_3
kabul_1,nan,0,,a_HarvardUniversity_3
"etmistir,_0",190.0,2,,a_HarvardUniversity_3
tm_0,728.0,3,,a_HarvardUniversity_3
 ulusal_0,534.0,4,,a_HarvardUniversity_3
JUniversiteler_0,1946.0,18,,a_HarvardUniversity_3
arasinda__0,749.0,8,,a_HarvardUniversity_3
rekor_0,555.0,6,,a_HarvardUniversity_3
disuk_0,319.0,4,,a_HarvardUniversity_3
ve_0,1244.0,7,,a_HarvardUniversity_3
ikinci_0,1640.0,11,,a_HarvardUniversity_3
en_0,72.0,1,,a_HarvardUniversity_3
dusuk_0,151.0,1,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
kabul_2,305.0,3,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
orani._0,1008.0,8,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
Harvard_1,813.0,7,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
"College,_0",1407.0,14,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
secmeli_0,879.0,10,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
Universitelere_0,1121.0,10,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
basvuran_0,1186.0,12,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
 disuk_0,961.0,8,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
-_0,155.0,1,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
gelirli_0,149.0,1,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
ve_1,nan,0,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
az_0,321.0,3,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
temsil_0,898.0,9,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
edilen_0,1038.0,9,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
 aziniik_0,1085.0,11,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
basvuru__0,1838.0,18,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
sahiplerinin_0,1000.0,8,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
dezavantaji_0,655.0,6,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
olduguna_0,411.0,5,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
"inanildigindan,_0",519.0,4,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
2007_0,395.0,3,a_HarvardUniversity_3_qa_1 a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
yilinda_0,641.0,7,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
erken_0,631.0,5,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
kabul_3,872.0,8,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
programina_0,1060.0,12,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
son_0,401.0,5,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
"verdi,_0",490.0,4,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
fakat_0,74.0,1,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
2016_0,822.0,6,a_HarvardUniversity_3_qa_2 a_HarvardUniversity_3_qa_3 ,a_HarvardUniversity_3
—_0,372.0,3,a_HarvardUniversity_3_qa_2 a_HarvardUniversity_3_qa_3 ,a_HarvardUniversity_3
sinifi_1,290.0,2,a_HarvardUniversity_3_qa_2 ,a_HarvardUniversity_3
igin’_0,nan,0,,a_HarvardUniversity_3
bir_0,nan,0,,a_HarvardUniversity_3
Erken_1,135.0,1,,a_HarvardUniversity_3
Eylem__0,nan,0,,a_HarvardUniversity_3
programi_0,742.0,9,,a_HarvardUniversity_3
yeniden_0,1125.0,6,,a_HarvardUniversity_3
tanitildi._0,691.0,7,,a_HarvardUniversity_3
<<<<<<< HEAD
=======
Her_0,nan,0,,a_SkyUnitedKingdom_4
iki_0,nan,0,,a_SkyUnitedKingdom_4
kanal_0,392.0,2,,a_SkyUnitedKingdom_4
saglayicisinin§_0,nan,0,,a_SkyUnitedKingdom_4
kanallarinin_0,78.0,1,,a_SkyUnitedKingdom_4
 belirli_0,429.0,4,,a_SkyUnitedKingdom_4
performansa___0,nan,0,,a_SkyUnitedKingdom_4
iliskin_0,nan,0,,a_SkyUnitedKingdom_4
hedefleri_0,nan,0,,a_SkyUnitedKingdom_4
gerceklestirmeleri_0,505.0,5,,a_SkyUnitedKingdom_4
durumunda_0,nan,0,,a_SkyUnitedKingdom_4
ek_0,nan,0,,a_SkyUnitedKingdom_4
Ust__0,nan,0,,a_SkyUnitedKingdom_4
sinirli_0,755.0,4,,a_SkyUnitedKingdom_4
Odemeleri_0,619.0,5,,a_SkyUnitedKingdom_4
giuvence_0,nan,0,,a_SkyUnitedKingdom_4
altina_0,nan,0,,a_SkyUnitedKingdom_4
alabilecekleri_0,466.0,3,,a_SkyUnitedKingdom_4
"anlasmalar,_0",222.0,2,,a_SkyUnitedKingdom_4
30_0,470.0,6,a_SkyUnitedKingdom_4_qa_0 ,a_SkyUnitedKingdom_4
milyon_0,150.0,1,a_SkyUnitedKingdom_4_qa_0 ,a_SkyUnitedKingdom_4
£_0,69.0,1,a_SkyUnitedKingdom_4_qa_0 ,a_SkyUnitedKingdom_4
 tutarinda_0,83.0,1,,a_SkyUnitedKingdom_4
sabit_0,89.0,1,,a_SkyUnitedKingdom_4
yillik_0,83.0,1,,a_SkyUnitedKingdom_4
tasima_0,145.0,1,,a_SkyUnitedKingdom_4
 Ucretlerini_0,158.0,2,,a_SkyUnitedKingdom_4
igerir._0,nan,0,,a_SkyUnitedKingdom_4
Su_0,70.0,1,,a_SkyUnitedKingdom_4
"anda,_0",75.0,1,,a_SkyUnitedKingdom_4
yeni_0,nan,0,,a_SkyUnitedKingdom_4
anlasmanin_0,474.0,4,,a_SkyUnitedKingdom_4
6nceden_0,525.0,5,,a_SkyUnitedKingdom_4
BSkyB_0,375.0,4,,a_SkyUnitedKingdom_4
tarafindan_0,614.0,4,,a_SkyUnitedKingdom_4
 sunulan_0,nan,0,,a_SkyUnitedKingdom_4
ek_1,74.0,1,,a_SkyUnitedKingdom_4
isteZe_0,158.0,2,,a_SkyUnitedKingdom_4
Bagli_0,246.0,1,,a_SkyUnitedKingdom_4
Video_0,580.0,5,,a_SkyUnitedKingdom_4
ve_0,440.0,4,,a_SkyUnitedKingdom_4
Yuksek_0,301.0,3,,a_SkyUnitedKingdom_4
Tanimli_0,321.0,2,,a_SkyUnitedKingdom_4
igerigi_0,648.0,4,,a_SkyUnitedKingdom_4
kapsayip_0,1122.0,13,,a_SkyUnitedKingdom_4
kapsamayacagina_iliskin_0,1426.0,13,,a_SkyUnitedKingdom_4
bir_0,402.0,3,a_SkyUnitedKingdom_4_qa_1 ,a_SkyUnitedKingdom_4
emare_0,392.0,4,a_SkyUnitedKingdom_4_qa_1 ,a_SkyUnitedKingdom_4
bulunmamaktadir._0,158.0,2,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
Anlasmalarin§_0,1763.0,16,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
bir_1,331.0,4,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
pargasi_0,1259.0,8,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
olarak_0,733.0,7,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
hem_0,942.0,7,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
BSkyB_1,412.0,4,a_SkyUnitedKingdom_4_qa_2 a_SkyUnitedKingdom_4_qa_3 ,a_SkyUnitedKingdom_4
hem_1,345.0,3,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
de__0,315.0,3,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
Virgin_0,521.0,4,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
Media_0,nan,0,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
kendi_0,235.0,3,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
temel__0,649.0,6,a_SkyUnitedKingdom_4_qa_2 a_SkyUnitedKingdom_4_qa_4 ,a_SkyUnitedKingdom_4
kanallarininin§_0,3233.0,30,a_SkyUnitedKingdom_4_qa_2 a_SkyUnitedKingdom_4_qa_4 ,a_SkyUnitedKingdom_4
tasinmasina_0,2257.0,20,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
iliskin_1,581.0,6,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
olarak_1,539.0,6,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
birbirlerine_0,333.0,4,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
—_0,171.0,2,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
karsi_0,503.0,4,a_SkyUnitedKingdom_4_qa_2 ,a_SkyUnitedKingdom_4
agtiklar!_0,nan,0,,a_SkyUnitedKingdom_4
YUksek_1,379.0,5,,a_SkyUnitedKingdom_4
Mahkeme_0,1225.0,12,,a_SkyUnitedKingdom_4
=_0,280.0,2,,a_SkyUnitedKingdom_4
davalarini_0,1579.0,18,,a_SkyUnitedKingdom_4
sonlandirmay!_0,2234.0,19,,a_SkyUnitedKingdom_4
kabul_0,1296.0,10,,a_SkyUnitedKingdom_4
 etti._0,813.0,7,,a_SkyUnitedKingdom_4
>>>>>>> new-analysis
2005'ten_0,nan,0,,a_SouthernCalifornia_4
2014'e_0,nan,0,a_SouthernCalifornia_4_qa_2 ,a_SouthernCalifornia_4
"kadar,_0",nan,0,,a_SouthernCalifornia_4
Los_0,294.0,1,,a_SouthernCalifornia_4
Angeles'ta_0,499.0,3,,a_SouthernCalifornia_4
iki_0,88.0,1,a_SouthernCalifornia_4_qa_1 ,a_SouthernCalifornia_4
Major_0,165.0,1,,a_SouthernCalifornia_4
League_0,297.0,1,,a_SouthernCalifornia_4
Soccer_0,306.0,3,,a_SouthernCalifornia_4
takimi_0,362.0,4,,a_SouthernCalifornia_4
vardi:_0,nan,0,,a_SouthernCalifornia_4
LA_0,nan,0,,a_SouthernCalifornia_4
Galaxy_0,nan,0,,a_SouthernCalifornia_4
ve_0,nan,0,,a_SouthernCalifornia_4
Chivas_0,nan,0,,a_SouthernCalifornia_4
USA._0,75.0,1,,a_SouthernCalifornia_4
Her_0,364.0,4,,a_SouthernCalifornia_4
iki_1,152.0,2,,a_SouthernCalifornia_4
takim_0,218.0,3,,a_SouthernCalifornia_4
da_0,nan,0,,a_SouthernCalifornia_4
maciarini_0,300.0,4,,a_SouthernCalifornia_4
StubHub_0,478.0,4,a_SouthernCalifornia_4_qa_3 ,a_SouthernCalifornia_4
Center'da_0,76.0,1,a_SouthernCalifornia_4_qa_3 ,a_SouthernCalifornia_4
oynardi_0,nan,0,,a_SouthernCalifornia_4
ve_1,78.0,1,,a_SouthernCalifornia_4
yerel_0,nan,0,,a_SouthernCalifornia_4
rakiplerdi._0,408.0,3,,a_SouthernCalifornia_4
Ancak_0,441.0,4,,a_SouthernCalifornia_4
"Chivas,_1",313.0,4,a_SouthernCalifornia_4_qa_0 ,a_SouthernCalifornia_4
2014_0,594.0,6,,a_SouthernCalifornia_4
MLS_0,238.0,3,,a_SouthernCalifornia_4
sezonunun_0,1428.0,12,,a_SouthernCalifornia_4
=_0,395.0,4,,a_SouthernCalifornia_4
ardindan_0,642.0,5,,a_SouthernCalifornia_4
uzaklastirild|_0,311.0,4,,a_SouthernCalifornia_4
ve_2,74.0,1,,a_SouthernCalifornia_4
 ikinci_0,492.0,3,,a_SouthernCalifornia_4
bir_0,228.0,3,,a_SouthernCalifornia_4
MLS_1,137.0,1,,a_SouthernCalifornia_4
takiminin§_0,1074.0,7,,a_SouthernCalifornia_4
2018'de_0,1378.0,11,a_SouthernCalifornia_4_qa_4 ,a_SouthernCalifornia_4
ddnmesi_0,403.0,4,,a_SouthernCalifornia_4
programlandi._0,1144.0,10,,a_SouthernCalifornia_4
Gegmis_0,nan,0,,a_Teacher_0
zamanlarda_0,nan,0,,a_Teacher_0
bedensel_0,205.0,1,,a_Teacher_0
ceza_0,nan,0,,a_Teacher_0
(fiziksel_0,377.0,3,a_Teacher_0_qa_4 ,a_Teacher_0
actya_0,344.0,1,a_Teacher_0_qa_4 ,a_Teacher_0
yol_0,nan,0,,a_Teacher_0
acmak_0,nan,0,,a_Teacher_0
Uzere_0,397.0,5,,a_Teacher_0
6grenciye_0,476.0,6,,a_Teacher_0
tokat_0,nan,0,,a_Teacher_0
atma_0,nan,0,,a_Teacher_0
veya_0,nan,0,,a_Teacher_0
saplak_0,136.0,1,,a_Teacher_0
atma_1,91.0,1,,a_Teacher_0
veya_1,94.0,1,,a_Teacher_0
sopayla_0,208.0,2,,a_Teacher_0
vurma_0,242.0,2,,a_Teacher_0
veya_2,333.0,4,,a_Teacher_0
kemerle_0,648.0,6,,a_Teacher_0
dévme__0,334.0,4,,a_Teacher_0
veya_3,83.0,1,,a_Teacher_0
Ogrenciyi_0,nan,0,a_Teacher_0_qa_0 ,a_Teacher_0
falakaya_0,464.0,3,a_Teacher_0_qa_0 ,a_Teacher_0
"yatirma),_0",479.0,3,a_Teacher_0_qa_0 ,a_Teacher_0
diunyanin_0,89.0,1,a_Teacher_0_qa_0 ,a_Teacher_0
cogu_0,191.0,1,a_Teacher_0_qa_0 ,a_Teacher_0
 bdlgesinde_0,475.0,4,a_Teacher_0_qa_0 ,a_Teacher_0
en_0,81.0,1,a_Teacher_0_qa_0 ,a_Teacher_0
yaygin§_0,204.0,2,a_Teacher_0_qa_0 ,a_Teacher_0
okul_0,466.0,4,a_Teacher_0_qa_0 ,a_Teacher_0
—_0,177.0,2,a_Teacher_0_qa_0 ,a_Teacher_0
